name,contact_email,country,salt,password_hash
Fairchild,fairchild@example.com,China,pum8kztN,78af6fe893e1d6d8b183494df1a7620931bc83d88f7a1bfa8a3bbd424f076699
Sierra Nevada Corporation,sierranevadacorporation@example.com,Canada,pxQwA1in,4cf72e3081221e8313bd7845c07d2fecbc64faca68fae3aabe973e3d50027a61
Lockheed Martin,lockheedmartin@example.com,Russia,l0nkHuNf,cace51566d7598660cef7a7a7e15b32b338bade755041f9331555108adfee73e
Rockwell International,rockwellinternational@example.com,Australia,HzwrvFwT,284753ec6f28e9b326593f5ce6f516e9dc08c793315adb0983974022887ff262
Northrop Grumman,northropgrumman@example.com,Germany,spKXyzly,a9e944526848b5c6f54aa2376e628738cb4b2e12d13d0eae58070380e6466fca
Boeing,boeing@example.com,Mexico,nIjHMos2,d5c29cac1a37ac5cb0dbb5ae30a6f58a0aac85ea2dd129b3c5b546d5afaff1e1
Beechcraft,beechcraft@example.com,Russia,G1EESr5G,cd360159a5167b8bbf13f36dfb7bb0cbb8382bb2b7b194ed81a3b0e45adadd72
De Havilland Canada,dehavillandcanada@example.com,Italy,9lXpdroA,69630e0e75e05a6d9d63404e2a52deb00dfbebbb66f83cde58dd64d6d43d9c6f
McDonnell Douglas & Boeing,mcdonnelldouglas&boeing@example.com,China,oME80UFS,5283684372458cb82e80c2641df9675b036a72df66c1a4b4a3ce676608a8a856
Learjet,learjet@example.com,Australia,UcITBkXw,98a2c40eef04f7c93751f54dadd7cf698e8424ea8ec0326b8dbeb61cd5f05e8a
Gulfstream,gulfstream@example.com,Russia,AciWL9Rw,cab2457d9a7c479666581eef5842a1ce476dd13c355e77f3b78f83d194e030d8
CASA,casa@example.com,Germany,uWEEw9sO,eec29a9aebfee7a27ef153db8d833e7ad9b6d4c7c9468f35b49e919e3c42c58c
Bell & Boeing,bell&boeing@example.com,Australia,FO2hYDP8,1b8db4c6dc1b287caeeee3229dd9e0e010ec190c39a8a310fd20d1ede5daead8
McDonnell Douglas,mcdonnelldouglas@example.com,U.S.,ysIH1ajZ,3e8a0692404021a7ee8bdca8615237db1b5b4005772bb6a3c881d7dd5c331729
General Dynamics,generaldynamics@example.com,Egypt,DrUYnXB5,2596ab33cdb01cabda566ca2173128269ebb6f3c9bdaffafd822e4919a26452f
Sikorsky,sikorsky@example.com,U.K.,7YFPCZc8,41f31c1b42d4cf31b89c7970f21e2937b7fc9a226b7dc05f48190ecc417b806f
AgustaWestland,agustawestland@example.com,Canada,uMo5kw58,6c344936af1e2caf43872d57191104bc70a7393d3defea8191cb438eb075e006
